replicate,add_cor_est_1_2_Gamma,add_cor_est_1_2,add_cor_est_1_2_SE,add_cor_est_1_2_Z,add_cor_est_1_2_Con,add_var_est_1_Gamma,add_var_est_1,add_var_est_1_SE,add_var_est_1_Z,add_var_est_1_Con,add_var_est_2_Gamma,add_var_est_2,add_var_est_2_SE,add_var_est_2_Z,add_var_est_2_Con,res_var_est_1_Gamma,res_var_est_1,res_var_est_1_SE,res_var_est_1_Z,res_var_est_1_Con,res_cov_est_1_2_Gamma,res_cov_est_1_2,res_cov_est_1_2_SE,res_cov_est_1_2_Z,res_cov_est_1_2_Con,res_var_est_2_Gamma,res_var_est_2,res_var_est_2_SE,res_var_est_2_Z,res_var_est_2_Con,res_cor_est_1_2,res_cor_est_1_2_SE,res_cor_est_1_2_Z,h2_est_1,h2_est_2,h2_est_1_se,h2_est_2_se
1,0.717207145257272,0.717207145257272,0.0835904456378271,8.58001341881488,Unconstrained,0.313502951267462,0.313502951267462,0.0822314596811733,3.81244541302041,Positive,0.373750700802037,0.373750700802037,0.0881475730399253,4.24005662223679,Positive,0.675057107896951,0.675057107896951,0.0601161684746468,11.2292104607706,Positive,0.379875050556209,0.379875050556209,0.0506508461221653,7.49987571066404,Positive,0.433514396537516,0.433514396537516,0.0563337287889236,7.69546781044527,Positive,0.702212815927668,0.0936299270838842,7.49987571066404,0.317130910116329,0.462983847603199,0.0726457904810102,0.0879072203050456
2,0.562298106364345,0.562298106364345,0.126472760844421,4.44600167348328,Unconstrained,0.299365706901641,0.299365706901641,0.0859860617851447,3.48156085633592,Positive,0.23409224514624,0.23409224514624,0.0634515939973227,3.6893044035445,Positive,0.664662371293856,0.664662371293856,0.0624571701592563,10.6418905883675,Positive,0.435283022907758,0.435283022907758,0.0461401256000266,9.433936671111,Positive,0.48749899671549,0.48749899671549,0.0458259939031674,10.6380452488515,Positive,0.764688078364347,0.0810571562035186,9.433936671111,0.310536294193842,0.324411150753817,0.0784377836601057,0.0767104284593083
3,0.425200344062423,0.425200344062423,0.155951897121764,2.72648394735739,Unconstrained,0.129662808112879,0.129662808112879,0.0437952212495236,2.96066110441878,Positive,0.400144502790752,0.400144502790752,0.0815652684156891,4.9058197264975,Positive,0.763949624490501,0.763949624490501,0.0464893129570483,16.4328009148321,Positive,0.43362799929514,0.43362799929514,0.0386020709769735,11.2332833011421,Positive,0.374557855334741,0.374557855334741,0.0505771797266783,7.40566906575002,Positive,0.810635280242023,0.0721636994732966,11.2332833011421,0.145099601776052,0.516513856700993,0.0466450889460362,0.0814841264901273
4,0.692180140119593,0.692180140119593,0.0833824223787271,8.30127166341698,Unconstrained,0.534760530809914,0.534760530809914,0.11564093074333,4.62431880626108,Positive,0.440506582820247,0.440506582820247,0.0942075684970791,4.67591500181755,Positive,0.623495068770543,0.623495068770543,0.074515881358525,8.36727765146687,Positive,0.363303831059381,0.363303831059381,0.0562521870570679,6.45848366199182,Positive,0.429479271059396,0.429479271059396,0.058730876899135,7.31266573453326,Positive,0.702073146998071,0.108705569873897,6.45848366199182,0.461694751144406,0.506337638544165,0.0801244245498603,0.0845741066342464
5,0.850197775011822,0.850197775011822,0.0557580753196543,15.2479756544275,Unconstrained,0.333655418787489,0.333655418787489,0.0855285934849302,3.90109792751681,Positive,0.286273497796274,0.286273497796274,0.0674438644093321,4.24461884418151,Positive,0.602946979611125,0.602946979611125,0.0599362487343657,10.0598050819522,Positive,0.302752095279057,0.302752095279057,0.0459031034841412,6.59546026955789,Positive,0.420956104721113,0.420956104721113,0.0452182834273938,9.30942249050729,Positive,0.600937338873922,0.0911137834682467,6.59546026955789,0.356240192591826,0.404781554359832,0.0782418502244725,0.0792570783969164
6,0.732361622903551,0.732361622903551,0.0830354644810602,8.81986543316799,Unconstrained,0.322515863977837,0.322515863977837,0.0850181073331362,3.79349616328303,Positive,0.303187043668371,0.303187043668371,0.0696158377243845,4.35514465643172,Positive,0.664478634874116,0.664478634874116,0.061455725349114,10.8123145744255,Positive,0.356288604505176,0.356288604505176,0.046066661499211,7.73419633439854,Positive,0.422660435589129,0.422660435589129,0.0463199717789244,9.12479907385089,Positive,0.672303888630901,0.0869261471474118,7.73419633439854,0.326765614553049,0.417700759915174,0.0749569838236792,0.0791102807046259
7,0.379424704065555,0.379424704065555,0.14604742803515,2.59795539825758,Unconstrained,0.30619609216272,0.30619609216272,0.074748804572636,4.09633430144262,Positive,0.273112580953582,0.273112580953582,0.0693757994851339,3.93671255654654,Positive,0.597789183684618,0.597789183684618,0.0538576475789908,11.0994298963367,Positive,0.399916957835948,0.399916957835948,0.0403503877445188,9.91110569663046,Positive,0.443546317350928,0.443546317350928,0.0469460141012865,9.44800801179781,Positive,0.776651713669514,0.0783617627984289,9.91110569663046,0.338718008294672,0.381091453130239,0.0712677742716277,0.0816003223150232
8,0.704713462679202,0.704713462679202,0.0919303331323015,7.66573380806761,Unconstrained,0.258948359948991,0.258948359948991,0.0681095662454081,3.80193817438162,Positive,0.348737238982239,0.348737238982239,0.0791523510833159,4.40589867779363,Positive,0.626619998144931,0.626619998144931,0.0520535821148037,12.0379803403909,Positive,0.371427336664557,0.371427336664557,0.0438755041691818,8.46548304567285,Positive,0.434539254031835,0.434539254031835,0.051343495988236,8.46337487675943,Positive,0.711798767171248,0.0840824750733021,8.46548304567285,0.292409228019784,0.445228782036195,0.0681090590977464,0.0819713531685469
9,0.897207429496056,0.897207429496056,0.0343520721903256,26.1180002337307,Unconstrained,0.601348114725235,0.601348114725235,0.134635323094711,4.46649587123736,Positive,0.509130565111929,0.509130565111929,0.103864741592315,4.90186137573368,Positive,0.491778259600011,0.491778259600011,0.0820568620896178,5.99313996510029,Positive,0.244544331267962,0.244544331267962,0.064725277642424,3.77818898852704,Positive,0.353190530108047,0.353190530108047,0.0617709457718031,5.71774522301826,Positive,0.586770689673729,0.155304748241958,3.77818898852704,0.550117652313008,0.590418775481831,0.0940764844369947,0.0890176571543548
10,0.955068322629406,0.955068322629406,0.017523945982738,54.5007570538165,Unconstrained,0.703031455152695,0.703031455152695,0.128835443234539,5.45681714210317,Positive,0.848736341315099,0.848736341315099,0.134231679107834,6.32292128770343,Positive,0.476067186791377,0.476067186791377,0.0775169040107519,6.14146285725427,Positive,0.13037140884419,0.13037140884419,0.0690977710302602,1.88676721260801,Positive,0.173556630099567,0.173556630099567,0.0731292082563575,2.37328742150684,Positive,0.453552567711601,0.240386076608079,1.88676721260801,0.596244817985332,0.830228090231906,0.0804749874879541,0.0804352396405466
11,0.696703519336448,0.696703519336448,0.0899279379833253,7.74735343609939,Unconstrained,0.310818278988181,0.310818278988181,0.0822876059594752,3.77721863899227,Positive,0.3823151419746,0.3823151419746,0.0855529311332496,4.46875562193352,Positive,0.680805093853552,0.680805093853552,0.0604835043129982,11.2560457861441,Positive,0.333103706891508,0.333103706891508,0.0480978279274397,6.92554573137954,Positive,0.362210156738188,0.362210156738188,0.0530231277596052,6.83117296249226,Positive,0.670791815964417,0.0968576112240613,6.92554573137954,0.313443881518703,0.513501881850873,0.0726698178597692,0.0895946197392504
12,0.700771352823871,0.700771352823871,0.121318254163881,5.77630594549477,Unconstrained,0.0920374269032034,0.0920374269032034,0.0359825212678831,2.55783707367258,Positive,0.176348217558339,0.176348217558339,0.0455596427720208,3.87071115637979,Positive,0.755297233734904,0.755297233734904,0.0433964160864483,17.4045993159967,Positive,0.406099849103534,0.406099849103534,0.0332732326361695,12.205001345799,Positive,0.472884219435608,0.472884219435608,0.0363704363282493,13.001884694694,Positive,0.679510966828984,0.0556747965507494,12.205001345799,0.108619924545388,0.271625703692286,0.0410949762216207,0.06271813351091
13,0.74005833383571,0.74005833383571,0.0740683246853112,9.99156301941409,Unconstrained,0.439352778684342,0.439352778684342,0.0958938089634568,4.58165947763918,Positive,0.270219594637867,0.270219594637867,0.062177014300989,4.34597250568799,Positive,0.590334697278521,0.590334697278521,0.0636140036324617,9.27994880953034,Positive,0.394734863772963,0.394734863772963,0.0462335124757913,8.53785149851318,Positive,0.49214872331114,0.49214872331114,0.0444918586193091,11.0615456082015,Positive,0.732332232683612,0.0857747681382305,8.53785149851318,0.426685561338407,0.354447565928286,0.0762392213425552,0.0696192570525778
14,0.539903727926822,0.539903727926822,0.13422502782995,4.02237747054764,Unconstrained,0.190070455566414,0.190070455566414,0.0569571208162432,3.33707976882514,Positive,0.220425567032993,0.220425567032993,0.0567797484030072,3.88211595212562,Positive,0.693642349584198,0.693642349584198,0.0493910672912804,14.0438825809025,Positive,0.417965838340966,0.417965838340966,0.0382318711365003,10.9323929464161,Positive,0.481044923096422,0.481044923096422,0.0420142574948991,11.449563833297,Positive,0.723569361316316,0.0661858172188659,10.9323929464161,0.215081703533786,0.314233556699337,0.0593737575037791,0.0708287803101057
15,0.69846052924394,0.69846052924394,0.0794777629416881,8.78812517353304,Unconstrained,0.462047321794597,0.462047321794597,0.10399007612349,4.4431866868326,Positive,0.599811003116496,0.599811003116496,0.111986053085816,5.35612236156634,Positive,0.599689090132349,0.599689090132349,0.0683687275878812,8.77139463158077,Positive,0.292374342527346,0.292374342527346,0.056601080735666,5.16552579433546,Positive,0.29763498485259,0.29763498485259,0.0645594064947436,4.61024970662987,Positive,0.692044776821756,0.13397373362856,5.16552579433546,0.435180819461609,0.668353317255185,0.0799908107914968,0.0872229821525087
16,0.736775516050419,0.736775516050419,0.0913834776890132,8.06245871444877,Unconstrained,0.26795215251693,0.26795215251693,0.0756028939412955,3.54420497084398,Positive,0.193475517613945,0.193475517613945,0.0548907567494757,3.52473766206171,Positive,0.651473106253539,0.651473106253539,0.0566866449282907,11.4925324488274,Positive,0.377503285124842,0.377503285124842,0.0421420585570051,8.9578748179612,Positive,0.480398029689011,0.480398029689011,0.0413964381576193,11.6048155606979,Positive,0.674795038138967,0.0753298133599671,8.9578748179612,0.291434404222544,0.28710953024984,0.0729375703083786,0.0724155151866373
17,0.741708611154188,0.741708611154188,0.0936114387809586,7.92326900230336,Unconstrained,0.1381363204474,0.1381363204474,0.0459052858375152,3.00915935773372,Positive,0.333281088939369,0.333281088939369,0.0761365962228407,4.37740988530541,Positive,0.790648887492953,0.790648887492953,0.0483270473682974,16.3603805849645,Positive,0.442495005045063,0.442495005045063,0.0416078359409473,10.6348959285718,Positive,0.484377810791598,0.484377810791598,0.0512664249517523,9.44824631808157,Positive,0.715030258500964,0.0672343446803236,10.6348959285718,0.14872795051692,0.407604062096099,0.0469664110887233,0.0772564433302552
18,0.726837511848821,0.726837511848821,0.0724372791501216,10.03402557877,Unconstrained,0.408725993690838,0.408725993690838,0.0985782783082666,4.14620746786326,Positive,0.390041901859168,0.390041901859168,0.0735836777109463,5.30065789034551,Positive,0.613562760640356,0.613562760640356,0.0664968352386951,9.22694679285005,Positive,0.347531078594553,0.347531078594553,0.048036051169743,7.23479699375156,Positive,0.38702337773983,0.38702337773983,0.0465865901442614,8.30761333983368,Positive,0.713174082980474,0.098575548643095,7.23479699375156,0.399814623763749,0.501942259034463,0.0805584409177439,0.0737536944833494
19,0.635377626116549,0.635377626116549,0.105381433194964,6.0293128196601,Unconstrained,0.253427125818623,0.253427125818623,0.0678940440309891,3.73268567862817,Positive,0.390933486607671,0.390933486607671,0.0758786422861771,5.1520885828882,Positive,0.75225294190682,0.75225294190682,0.0560553629045709,13.4198211005691,Positive,0.404876051302846,0.404876051302846,0.0438862018037757,9.22558878786391,Positive,0.391589808893597,0.391589808893597,0.0478555689942212,8.18274272197837,Positive,0.745975305347094,0.0808593708759717,9.22558878786391,0.251995772762805,0.499580637222112,0.0610208137072282,0.0756463342238385
20,0.852132569770643,0.852132569770643,0.0440010898813421,19.3661696123571,Unconstrained,0.596591750154711,0.596591750154711,0.126823289327667,4.70411825239234,Positive,0.525966531958427,0.525966531958427,0.101366586891785,5.18875645403675,Positive,0.520471009783948,0.520471009783948,0.0780755216435634,6.66625081494868,Positive,0.244076198458079,0.244076198458079,0.0612017910724656,3.98805646339797,Positive,0.326026371975979,0.326026371975979,0.0596896547830643,5.46202475388554,Positive,0.59251696920114,0.14857286365908,3.98805646339797,0.534071827967367,0.617336751902009,0.0873444524092065,0.0862221727669541
21,0.841653549166915,0.841653549166915,0.052623708538026,15.99380911284,Unconstrained,0.440298929596758,0.440298929596758,0.106338595105349,4.14053739529432,Positive,0.462945689811345,0.462945689811345,0.11003391811625,4.20729987386477,Positive,0.650242067757866,0.650242067757866,0.0709823549684181,9.16061559308896,Positive,0.376559670159518,0.376559670159518,0.0627340902773839,6.00247279421011,Positive,0.461272117730108,0.461272117730108,0.0684461627462288,6.73919616853208,Positive,0.687571190799631,0.114547989532389,6.00247279421011,0.403743582923348,0.500905399175162,0.0811043248384131,0.0937275931667715
22,0.771147327899567,0.771147327899567,0.0697172094652256,11.0610756485342,Unconstrained,0.350644374089723,0.350644374089723,0.0884895445391179,3.96255146205116,Positive,0.432959464950979,0.432959464950979,0.0934914469312366,4.63100614187117,Positive,0.70909216946366,0.70909216946366,0.0641694596113789,11.0503060764115,Positive,0.389205697782699,0.389205697782699,0.0531828047474902,7.31826197641573,Positive,0.41363719417256,0.41363719417256,0.0580977707076328,7.11967411373009,Positive,0.718651031075656,0.098199686399807,7.31826197641573,0.330878817214309,0.511411733421216,0.0724033927327207,0.0860522727533114
23,0.44246181882845,0.44246181882845,0.134902847201527,3.27985530333151,Unconstrained,0.304446223218561,0.304446223218561,0.0821227932113584,3.70720735758478,Positive,0.240688333471395,0.240688333471395,0.0572149894117409,4.20673561152498,Positive,0.670767647939391,0.670767647939391,0.0601945724787722,11.1433243948354,Positive,0.41981733408224,0.41981733408224,0.0411608051995119,10.1994441568218,Positive,0.456227776592284,0.456227776592284,0.0412603277926674,11.0572988873191,Positive,0.758898074748881,0.0744058267372641,10.1994441568218,0.31218405748994,0.345361988330852,0.0738230799484287,0.0705527125227958
24,0.54069365871628,0.54069365871628,0.107723910825351,5.01925389241473,Unconstrained,0.548248968746103,0.548248968746103,0.119108668304046,4.6029308911976,Positive,0.250266378415796,0.250266378415796,0.0566534145936229,4.41749857816984,Positive,0.554825184698284,0.554825184698284,0.0746606191718708,7.4312963226445,Positive,0.33141410652972,0.33141410652972,0.0443343996542632,7.47532636314501,Positive,0.372410892084811,0.372410892084811,0.0383690106132754,9.70603323182797,Positive,0.729090970347585,0.097532995207027,7.47532636314501,0.497019141491238,0.401919887351263,0.0848746450158823,0.0756506495749233
25,0.509819896346675,0.509819896346675,0.162932861981451,3.12901823577318,Unconstrained,0.0852123407703788,0.0852123407703788,0.0356898928683477,2.38757625540398,Positive,0.20600159935437,0.20600159935437,0.0504322344864614,4.08472084277113,Positive,0.796518391512434,0.796518391512434,0.0449694337946155,17.7124398574884,Positive,0.433284568974804,0.433284568974804,0.0339255325686497,12.7716364687285,Positive,0.459260695151814,0.459260695151814,0.038187118426663,12.0265868196839,Positive,0.716383672212419,0.0560917681901212,12.7716364687285,0.0966421353486942,0.309654704701523,0.0393621784669483,0.066437888634378
26,0.588458940737639,0.588458940737639,0.143809147979036,4.09194372546747,Unconstrained,0.0901046116049917,0.0901046116049917,0.0360750809039449,2.49769672990916,Positive,0.502195535260182,0.502195535260182,0.0947754159685765,5.29879536932541,Positive,0.790747437769593,0.790747437769593,0.0448483384776104,17.6315882507968,Positive,0.402552024499284,0.402552024499284,0.0386267209754659,10.4215945421556,Positive,0.320620940233552,0.320620940233552,0.0560273981969411,5.72257414321726,Positive,0.799479213879787,0.0767137131123144,10.4215945421556,0.102292560559934,0.610337238275203,0.0397362670724933,0.0837801361635803
27,0.887219832757016,0.887219832757016,0.0383001398914629,23.1649240778564,Unconstrained,0.436271066941029,0.436271066941029,0.0977871344758352,4.46143625416121,Positive,0.459255237525656,0.459255237525656,0.0960806479781538,4.77989321668687,Positive,0.530846997002744,0.530846997002744,0.0632874360819807,8.38787332631236,Positive,0.241230638607157,0.241230638607157,0.0542675712799246,4.44520793758825,Positive,0.300937228214831,0.300937228214831,0.0569187245863648,5.28713934477235,Positive,0.603545235403058,0.135774353838329,4.44520793758825,0.451104247977725,0.604130214679654,0.0817464951566672,0.0928260363796052
28,0.822536804198905,0.822536804198905,0.0525616808580469,15.6489821248359,Unconstrained,0.504696717047342,0.504696717047342,0.117554293806081,4.29330737914088,Positive,0.665245897106857,0.665245897106857,0.128819057459957,5.16418851545819,Positive,0.585420500036065,0.585420500036065,0.0751439238647817,7.79065651521611,Positive,0.269601482471969,0.269601482471969,0.0669397316245193,4.02752559547485,Positive,0.29355584638986,0.29355584638986,0.0737996091837862,3.9777425603814,Positive,0.650343712311637,0.161474755875502,4.02752559547485,0.462974723395022,0.693830504188205,0.0867483728709393,0.0925740940337128
29,0.841809186551822,0.841809186551822,0.0520894168552341,16.1608487361523,Unconstrained,0.387473991552686,0.387473991552686,0.100660521383949,3.84931437097117,Positive,0.481409038997467,0.481409038997467,0.106551361515412,4.51809373574108,Positive,0.628413784130016,0.628413784130016,0.0681089161173715,9.22660086158288,Positive,0.306468576252258,0.306468576252258,0.059005956118208,5.19385832234127,Positive,0.333334792494381,0.333334792494381,0.0635024719594541,5.24916246893842,Positive,0.669611303519532,0.128923675226029,5.19385832234127,0.381414168796641,0.590871658538336,0.0836708468993365,0.0971660338402425
30,0.510474757317891,0.510474757317891,0.128154513136732,3.98327569449895,Unconstrained,0.253206586543324,0.253206586543324,0.0701854172323588,3.60768086203787,Positive,0.270239758989366,0.270239758989366,0.0630440848882061,4.28652044785126,Positive,0.690496378260821,0.690496378260821,0.0551530132435957,12.5196492023217,Positive,0.386624772758729,0.386624772758729,0.0401215618849921,9.63633404569302,Positive,0.397214093937963,0.397214093937963,0.0424367704423375,9.36013956287488,Positive,0.738238431973642,0.0766098838493046,9.63633404569302,0.268311742133685,0.404881562679044,0.0666934675298268,0.0785450078453936
31,0.7475734067921,0.7475734067921,0.0839693354312067,8.90293346914198,Unconstrained,0.327091449203119,0.327091449203119,0.0839426184430283,3.89660765020232,Positive,0.18140835474343,0.18140835474343,0.0491736765199687,3.68913548023529,Positive,0.656083630532259,0.656083630532259,0.0604294186256113,10.857023705573,Positive,0.394840655994505,0.394840655994505,0.0420964538655249,9.37942795029254,Positive,0.488919698372041,0.488919698372041,0.0387096886374255,12.6304218809795,Positive,0.697145608752475,0.0743270924886982,9.37942795029254,0.332688913648173,0.270626231291234,0.0739752080354217,0.0656643476356393
32,0.719230666087375,0.719230666087375,0.0723417855831651,9.94211934761463,Unconstrained,0.458346913929596,0.458346913929596,0.102397054274601,4.47617284673479,Positive,0.466731123632392,0.466731123632392,0.0884814454808326,5.27490392020662,Positive,0.617439105465976,0.617439105465976,0.0678633984248469,9.09826386236372,Positive,0.333702617311148,0.333702617311148,0.052905137783464,6.30756541409954,Positive,0.368743614314942,0.368743614314942,0.0538415689758049,6.84867884293354,Positive,0.699359200770997,0.110876250162653,6.30756541409954,0.426057697038225,0.558641814567723,0.0780730832503369,0.0796915130704953
